Category1,Category2,Category3,Value1,Value2
B,D,B,78.7868085365502,50.276370314940365
B,B,C,50.341179831313944,80.99005563416193
D,D,C,37.76831106770606,88.48270444073654
A,D,A,69.9965454738665,24.039442309365565
A,C,B,4.141975020577127,29.7583183493205
C,A,A,8.942086625926809,120.161988266978486
A,B,A,75.30638858089416,112.702506314029485
D,A,A,15.462694745866918,147.02367780298451
B,C,D,27.383854246062317,79.87652276959007
D,D,A,39.849755734705056,74.00936918675086
A,B,C,54.77600310403504,121.52575279889159
B,A,B,18.978770122133465,61.91549142375375
D,B,C,89.67419885331682,42.048577159569206
A,B,B,25.757867186574792,5.503726773302504
A,B,D,38.776163443900295,35.61535439998756
A,A,B,2.248933300928722,80.79830826903023
C,B,B,97.48525178467051,22.02145542292616
C,A,B,71.75356960778888,64.4212127768809
C,D,B,39.09499202185353,69.31168909282269
B,A,C,97.52224919835577,26.187334695677116
D,C,B,25.469056919398014,7.715770277898626
B,B,A,99.45900550721227,30.728115462975744
B,C,B,20.718807754089145,55.4493663390611
A,C,A,73.79695514089316,76.93622749751057
A,D,D,10.302070093101058,12.269839531911478
B,D,A,66.93478048763774,133.99500615741906
D,A,C,21.63626607365704,40.20888328340103
C,A,A,39.52317309724382,57.323232538874
B,B,C,96.1601757548662,96.05116970004603
B,C,A,93.68530941742104,83.37223422070801
D,D,B,16.702532204145644,20.207542409904054
D,D,D,73.09547071290318,83.54870471697858
B,B,C,74.72773329023026,92.30569675993041
A,D,C,55.40841451713219,48.4317190624784
A,C,B,13.092009701415606,47.97554489171642
B,C,B,48.6417297215274,4.5202668377725015
A,B,A,30.58249529207974,14.439635699004352
D,C,C,36.682238950315394,16.383242578006147
C,A,A,6.156663943097797,46.60117569799552
D,C,B,67.00278364539918,86.65721070140441
C,A,C,97.35413198307094,89.69693154227626
B,D,D,24.360617940559884,46.78453746151115
B,A,D,43.98200340663519,81.60249572233373
C,B,C,2.491702821617385,92.851207699745
A,B,C,79.64464933673966,6.5462062334676645
B,B,B,58.88498914126537,52.586249214671774
C,B,C,40.18502172921027,56.929321458723024
A,B,C,25.065843991071397,68.1415648403375
C,C,D,96.91465801862883,55.96254362205163
B,D,B,58.52662525001204,2.853124615684028
B,A,A,69.38439004161802,58.16236657547828
D,A,C,69.15224735457463,33.840209976986024
C,D,B,16.344202300671242,91.7024586566904
A,B,B,77.30890300019465,79.78249716763167
B,B,D,25.623503384084604,7.555091090438627
D,A,C,50.49200145191515,15.781185707193178
D,B,C,68.90851973180354,84.23317620222376
A,C,B,34.50378757829986,34.57608937753929
B,C,C,96.99551894292486,38.14883698541353
D,C,D,76.19645633465126,53.893044444905
A,D,D,6.945181235058142,17.430979293042288
A,D,D,36.196249856151006,60.96321980332629
C,C,C,16.237925108011698,19.550512104660232
C,D,C,54.09897925224273,12.567619179150274
B,C,D,11.631773981876055,78.45204977245986
D,B,A,49.296445310375006,31.519860527078446
D,D,B,32.35721634466867,85.92412828009904
C,C,A,56.27669378420428,71.27416146644349
B,D,C,64.81995198810887,27.8782442433617
D,A,B,35.38445614834883,9.59298071420482
A,A,B,89.28779919023194,87.82782452945845
A,C,C,73.58569434362326,37.786774111827654
A,C,A,3.113930435745029,83.1162894228246
A,C,A,38.39912470771805,30.96024179755037
C,A,A,72.71551662935678,52.98494154907399
B,D,A,25.818927868959616,18.326261834136364
A,A,D,4.90936572883211,38.047353377263654
A,C,B,70.95597191387787,4.702108569452523
D,C,A,56.34345427287179,21.007742951974503
C,C,C,54.73067360376373,10.167807772261163
D,C,D,49.51910758605455,51.093474570427404
D,C,B,57.10347166267071,80.10350256252032
D,C,C,54.81843388392629,90.59062426168751
A,B,D,33.04440669348715,16.25369994216379
B,B,B,47.3710773904407,34.671474519670305
C,B,C,86.8985221557588,48.86372235053528
A,A,B,60.26931447932814,87.5140302914319
C,D,D,86.1955252282136,31.725512182547053
A,C,A,16.873997500678758,33.406457202033764
B,B,D,53.58260560294629,77.17865832379533
B,A,C,45.48903577977116,10.726904931602714
C,D,A,82.1224365984766,98.24507391351729
D,C,B,54.618989261568764,52.0985153987632
A,C,B,45.9538189997618,99.27931407197563
C,D,B,77.81587282690838,21.313523894045446
D,D,D,51.089815560916904,4.618701156060936
B,D,B,73.63211640244643,39.371233356401774
A,A,B,88.41030488053907,86.61621004128563
B,B,B,62.35372605045214,12.467762719145984
A,C,D,37.04344451297551,31.787150467197574
D,B,C,62.39953396946094,5.358966402844937
A,D,A,32.74871533646697,84.96427839871102
D,C,B,7.270833903332433,87.31563421056057
A,C,D,96.74915254381817,33.9956855864876
C,B,B,82.08592364461417,89.02940172380087
B,B,A,19.79707579227467,11.20718011660272
A,C,C,68.6391940732104,76.85183830737652
A,A,C,76.80767545547569,74.80991779219805
B,D,B,16.259019879183803,3.225545854705744
A,B,A,29.02977926982495,76.09088824616482
B,C,B,41.57064824886238,64.24623435230123
D,B,C,32.88038150918445,21.774722999089633
C,C,D,10.529373428202064,20.85499571309997
C,A,D,66.23021198512095,29.370170335384486
B,B,D,5.333949079246385,53.695304770736605
C,C,A,93.84215412920454,77.50592264287506
B,B,A,18.685241203574723,67.44128015374714
C,C,C,4.096101641698358,27.992766460647818
A,D,A,11.598461680499149,16.592105463818093
A,C,C,19.970047382836082,12.331578996110064
C,C,C,4.149897840099072,95.87150739633702
D,C,B,64.53341514463463,56.40295059153442
C,C,D,39.471283131347626,11.13515398987502
A,D,D,49.50105415326591,54.71034267307442
C,A,C,62.773077915833056,55.38720003910367
A,D,A,59.43979029609199,27.834157981083724
D,A,C,5.859477097310482,94.3845040554629
D,A,D,22.851555630485777,80.59628100725637
C,D,B,72.06667426240833,57.83421132145585
A,B,D,2.2955248735166434,17.956222571827798
D,A,C,92.18248572696054,31.826378410406594
B,D,C,65.91918682790654,89.33206736695134
C,C,D,92.91196822439852,54.51713310123321
B,D,D,83.37569205400142,6.021892189065556
C,A,A,47.33785519973169,3.870275934061564
A,B,B,64.25275492675094,90.42594835813416
A,B,D,36.73167906138277,5.995145048847531
B,B,B,74.60426665012643,38.976364294634664
A,C,B,89.1526303900731,9.52583846613845
A,D,A,82.38062511040118,39.79975930392232
A,D,C,79.63070813666987,70.76308177423488
B,B,B,6.771702420269344,89.23631356420267
A,C,B,62.076399216918254,63.31759829656232
D,B,B,53.373062297885575,69.32236479399491
C,A,B,73.69573348737079,45.13779028516425
D,D,C,83.6111933222901,36.206806987014595
B,C,A,8.715602111188648,33.90087746774223
B,B,B,22.374106258884723,20.616566692121093
A,C,D,52.42904204588238,76.0818520815384
D,A,C,11.021286955416354,81.1206824914739
B,A,A,23.870782327908604,8.776015135604936
C,D,D,39.14777773437336,92.35561514510624
B,C,D,20.11882533947385,76.67840009260058
D,B,D,66.03077485879912,57.21114092355767
C,B,B,57.432739227318606,10.198701258542018
C,B,B,94.80283111118445,80.43269931561659
A,D,D,56.28392452128411,70.16134149848904
C,A,A,56.25601910876687,10.629036688080674
A,B,B,74.8647292513095,31.72877676608651
A,D,A,76.8620585815892,64.79744238638412
B,D,B,58.0798022407172,76.8828560342957
B,D,B,67.77476381073399,47.58404160244559
A,D,B,70.55249120189988,94.797378749815
D,D,A,43.280424039062694,15.22844669408001
A,D,B,11.306137275055955,89.67438530234445
D,A,A,79.45369817956728,26.547223801711937
C,A,B,55.446581190482966,36.98148520153473
C,B,C,50.964585270090204,19.151954094036274
C,C,B,66.095656221058,91.80917775521338
A,A,D,53.85614722106548,33.70246767319061
D,C,A,60.39165739609453,86.2183676984756
A,B,C,93.41847698301139,33.15134777035581
C,A,A,90.34601209461945,49.263166524441154
B,A,B,55.4580528971168,7.47115468277113
C,B,D,99.68818110332457,12.175818672721393
C,B,D,84.6405474752205,48.38655649619494
B,C,D,41.8219858754743,84.73085998676234
D,C,B,63.69084139636322,28.943479523257977
C,B,B,82.78934252903535,35.51292878269838
D,A,D,33.02164108479711,57.893147547632495
B,D,B,24.831533057625034,51.287016929613706
B,C,B,55.01699771865372,41.16291224165063
B,B,C,38.131244412102646,71.71303553044065
A,A,B,55.47363185650516,11.591148184695115
D,A,C,74.7132565018149,56.05883614939219
A,C,D,36.640845948483985,8.021475005527309
B,C,A,45.787943946588626,30.90969452814616
C,D,B,96.02261866116497,46.636510421937935
A,C,D,1.0193671577052363,59.46305971541068
C,D,D,4.43162732059278,24.618953887124427
A,B,B,29.16373489037543,25.125415043882672
D,C,A,2.613942341829288,16.74300866883457
C,D,A,14.373485225050064,48.75509095190338
A,C,B,89.14213120104613,7.539933530469995
B,B,D,1.6503140682955142,21.615576435459065
B,B,B,98.4550481063633,69.71192620326615
D,D,A,22.26745846656204,43.68370126669915
D,A,B,32.17556282988515,98.04031739458453
A,B,D,77.38078412690797,57.153908229957146
B,B,A,94.39144271822421,34.87788262894869
C,B,A,82.411408352254,69.71918252393066
A,B,A,91.99209621409068,18.135460150231513
A,A,D,51.615877345770485,67.290914414164
B,B,B,57.496152301626815,74.19733744975524
D,A,A,57.58957119522067,71.47897333536028
C,C,D,10.334425626217524,83.83807119113506
D,A,D,46.57661076046466,12.317963187576458
A,D,C,16.45460352824934,60.01147386303496
A,C,A,27.23382974670235,33.212431333614006
B,A,D,89.07290989632469,10.667737009974434
D,A,B,25.73583368261471,45.07640700370987
A,A,D,26.36814000678322,31.495536630097487
A,A,D,30.729940735538353,41.173576018893385
D,A,C,57.478228789419134,60.22765897784917
B,A,A,57.337428755091864,68.86535951191637
B,D,D,22.52629074225075,60.044136087320695
C,D,B,8.642954987544357,82.16670714700363
C,D,C,33.14451334996159,33.41341604989185
C,A,D,48.77078413305689,64.85392242935532
D,C,B,49.33936343896998,7.0867399347034645
C,D,A,90.00338558308717,22.543565570461194
C,B,C,70.58194159006337,14.75275701164373
D,B,D,82.13201121880046,58.49602126644808
C,A,C,10.441041297673344,75.74386260641477
B,C,B,64.58320767982998,81.17409741892105
A,D,A,4.699788021654975,75.95069402102983
B,A,A,81.02577604392235,66.42725798318108
B,C,A,38.77306493944869,45.84446760709826
A,B,A,78.23206889283917,29.858822096945964
B,D,D,92.26527815550006,61.94164446156628
A,A,B,34.10457480285383,45.26881709226217
B,A,C,88.09945776236823,21.36050650827707
D,C,D,43.996135296193124,87.8651099081574
D,A,C,93.09436231043398,30.673798095117235
C,A,A,12.933512323415753,79.64031931316272
D,D,B,77.26861571852154,68.2763338323717
A,B,D,75.02018706966295,91.9316606327146
C,B,C,85.09833856394783,93.730971828386
B,C,C,92.93666341254118,72.06133096870369
D,B,D,63.754823200139725,91.59667354138342
C,C,C,63.58716841687417,99.03863640755007
D,D,C,6.35866692791548,58.689970804779264
C,C,D,52.9139517998475,61.5375848610382
A,B,B,32.61233748088063,51.53196405630964
A,A,D,56.926376505258844,84.91603778770575
B,D,D,33.35633113784908,85.39801276567788
C,B,B,70.07909660681277,7.178645294555016
A,D,C,16.16655077786342,90.20649381234963
B,C,D,67.68988899459151,96.82205214544835
C,B,C,99.73936299901743,1.0834880965356373
B,A,C,97.1329842292965,56.44299552779328
A,A,C,75.53118009804254,97.8909267452748
B,A,D,57.950230531157594,11.860133374210715
C,A,B,9.918212301928378,28.938715388642876
D,D,A,43.7616313449183,4.087289469606242
A,B,B,78.85046155033945,43.739834610521534
C,A,D,15.65322766517635,59.426223583762074
C,A,B,34.280649626046156,62.8962160385743
B,A,A,48.1096107853399,71.46559151929745
A,C,B,74.78618876547961,41.19723279606505
D,B,D,55.267088096737396,44.08381479208737
D,D,C,26.99323968159273,21.910391394691672
B,C,A,40.454176699224774,18.167600520046577
A,C,B,44.014620003168936,14.767817703146164
D,D,D,70.08918110957102,55.986736298165546
A,A,A,76.4412590440527,84.48943940195234
B,A,A,48.611327695625434,36.668500975938926
A,B,B,20.612744244175023,42.30631398612604
A,A,D,40.13656155446615,29.558616301031016
A,C,D,57.56173760752254,87.40083346766637
B,C,A,56.555593371269744,13.42936619589826
B,C,A,99.71079792701534,2.148672492078343
B,D,C,52.90053044541431,65.19053502794408
D,A,B,24.989194080924644,15.255592759047325
C,A,C,27.359451978656775,88.60397955911928
A,A,A,43.57650738222712,66.13474298444969
C,A,A,68.78905926264576,97.52252768003602
A,B,D,58.025805487259255,14.44179880903423
A,B,D,12.140457268826719,14.584806558356036
A,C,C,41.94462319411724,80.78821984804935
B,C,A,37.16149679930864,86.15512344350543
D,D,B,19.858484415360522,89.46466444510158
B,C,D,35.10796604151902,69.84366143374532
A,A,D,65.88557592329737,93.10079023349816
C,C,A,77.19844791425068,62.701599678396725
A,C,B,17.75627113712981,45.985041561961744
A,B,C,35.621923573358934,42.98834377268666
D,A,B,82.33682127316115,82.18707106675603
A,D,A,80.4768064154595,39.086757065172606
B,D,B,62.69503347155473,23.348350922713518
D,D,B,44.605878982267356,43.05241387227738
D,C,A,92.4971074834393,1.735569158314997
D,D,C,24.115470087296032,50.31753940011251
A,D,B,68.8505635187645,73.36042462615852
D,D,A,16.4431305007312,71.50086989753807
D,B,B,73.12018853741624,27.655794364757405
B,A,A,9.495629520154008,92.72988071345135
C,B,C,74.2185813739841,58.058882961645956
B,A,D,25.0617826800432,4.3127257290863295
B,B,C,62.47924181629896,4.748638169816189
C,A,D,15.620030708659307,48.84354507761725
C,D,D,83.41203083241926,37.48928127589279
D,D,B,29.480823802646956,58.44660936796485
B,D,A,34.983865869683974,96.21203721582316
A,B,A,80.62379658979565,8.926247463126927
B,D,A,31.20668695536326,73.28836147783714
C,C,C,47.64784006962227,53.11439732741065
D,A,C,33.85579518744307,86.07571522431947
D,B,C,74.26128551559553,75.30763869813167
D,D,C,21.975656041326623,28.66261681190651
A,D,B,55.095997183049626,52.178005440125055
A,A,B,75.28515972649411,52.81232265458726
C,D,D,55.331205426302596,61.39699031230948
D,D,D,62.6811572928908,25.277899107133635
B,A,A,99.23791069532479,63.43562206198964
D,A,C,69.81204322112178,66.70995697439233
B,C,B,67.1577976109122,67.2029967660465
B,C,D,38.28406031964338,68.72332789551525
A,A,A,90.69798831410189,54.380524031905274
D,B,A,53.15310996252834,58.383215568493846
C,C,C,26.290178111654857,61.69087228346357
D,A,C,6.950894907991144,90.45494198807381
D,D,A,20.86890964306638,53.96829289998252
C,B,C,69.95614215864623,2.067556615308016
C,D,C,27.856863686855423,45.949442414594046
D,C,D,47.03112102166584,90.69945305924122
C,D,D,94.57247174400898,57.82256486004322
B,B,D,7.5931814497401495,33.81988492370094
A,A,B,66.37690972432291,35.93853962494096
C,A,C,66.63518193629541,97.79829094576908
B,B,D,91.37400925420178,30.167176616427568
A,D,D,36.66169508966762,17.583308119306686
C,D,A,11.68125187522734,69.81006512316753
A,B,D,29.957062176418553,60.16601538056957
D,A,A,88.45682919987814,31.103013477997468
C,D,C,39.265799387437795,78.7171339601794
B,C,A,97.99949225551947,26.783870518806264
B,B,D,51.34549288216666,63.30070534231433
A,C,B,71.25919103518699,58.23596761926147
B,C,B,90.48333395443962,57.71313954972005
B,A,C,48.98155303158239,65.97566875104694
C,B,D,60.11353444773334,29.8835676616481
A,D,C,9.714046213442991,74.00062763547437
B,D,A,20.68864480081521,3.7025106653179876
D,B,C,96.71234587088703,48.991258629921866
C,A,B,56.50806659988051,13.555312209233746
B,D,C,71.53444986140249,8.609363699652842
B,D,A,4.93548792222009,78.59251939138048
B,D,D,92.30474145272464,25.953046471784535
C,A,C,31.187824770982516,61.96397825938628
C,D,A,49.50335170288817,28.2464943671821
A,D,B,74.69468126105905,26.438616338417656
C,C,D,2.8188503111243985,74.40148741784238
B,A,C,68.7468241739228,60.77833242928065
B,D,C,36.1824351914068,91.10301737923355
D,A,B,30.93029494869911,74.15775611968655
C,A,C,99.60344671343402,66.25640839501219
B,D,B,97.88019466119925,37.606916166664874
D,D,B,28.311949620972516,18.36453713375334
A,A,D,7.138959988604807,78.47024282348686
A,A,B,26.510257102467484,24.38339219992557
A,A,B,39.3298883747295,18.90010989560059
B,C,B,99.99522828065608,53.21149662389925
B,B,C,99.04579705683233,4.27596216605567
A,D,B,94.46953312262144,98.42309411135126
D,C,B,94.96252541794769,96.76721773566271
A,C,B,23.332687065147674,59.958865094633715
C,A,B,34.836829131993326,82.35065300957024
B,B,C,39.89181306985203,83.92380774094819
B,D,B,14.58880693235774,75.52336839113363
C,C,A,73.25907672821361,41.88183977653392
B,D,A,52.551066563278155,38.93353230175969
C,C,A,68.12149475986055,66.4060615716749
A,D,D,87.39744560366076,72.87391009271063
A,A,A,68.96580794092543,17.561042829415328
B,A,A,42.316000311044746,58.19798198865167
B,B,D,57.71695674301807,84.34147048862647
A,A,C,43.22003470423206,6.378252868233977
C,C,C,31.925893679736575,27.175154095835303
A,C,D,60.93151960223308,82.13356993707599
C,C,C,45.467749347397245,6.199796502235822
D,C,D,14.045441094554729,46.93747787532013
A,A,B,65.59479196160343,48.14696229126561
C,A,C,58.52203936572394,48.150357826567465
C,B,D,68.72081498958468,94.87692568071452
C,D,B,21.028713095159667,92.3234656208721
B,B,B,14.672854517332024,24.132469859721343
B,D,A,69.16467685854808,68.66748589914421
D,A,D,89.96567380321578,39.61697817582166
D,C,D,91.04670882515607,26.999889994932957
C,B,A,43.5763655198581,53.513771125357565
B,B,C,90.99120743276114,44.03869863729507
C,A,D,77.23494977779751,29.59042999740712
B,D,B,65.96694354988607,79.93359539235563
B,B,D,56.91958444412126,38.81840537615751
D,D,A,16.646743770183065,32.25317384462437
C,B,D,7.7135900942734565,53.49508886489834
C,C,C,53.763193152185934,95.63120403931099
B,A,A,72.22461007327095,10.639067753057939
B,D,A,19.229386370198135,53.59804187048219
A,A,B,84.11272847715149,36.028981362746514
D,A,D,15.406760252869674,84.57968900164069
A,D,A,3.9188512919699106,61.43807123516618
B,D,C,32.55005710671139,65.55452650023409
C,B,C,97.31670747689884,27.986468904925683
B,D,C,96.15842253501657,27.76228560091326
A,A,B,31.031462392638943,80.42931972987503
D,A,C,74.8153632688752,26.279047971814755
B,D,B,82.34815306603073,58.833506552310446
C,D,C,64.04789246910626,46.64975075082444
A,B,D,74.09562163133785,67.85382079452276
B,B,C,16.04374852129579,24.937899870403342
C,B,C,19.60542662121632,67.51709548595328
C,A,B,14.023042152001727,77.27923134191067
B,D,D,3.593623924868555,52.475279885554706
A,C,D,98.60960371483995,68.09409786267246
C,D,B,62.07770404532103,99.32826985278538
D,D,D,60.95484661413182,32.01371295909317
A,B,C,61.62384012237357,2.0472209275318933
C,C,C,60.0397085695421,1.8391404996608176
B,D,D,23.86032538153537,7.727243544043441
B,C,C,3.582364786914528,41.71362789476049
A,C,D,8.86806760077168,53.001162128797326
C,D,B,78.20279872554256,68.86445567122308
C,B,B,14.274576125518482,35.80012555958491
A,B,B,84.76768536021162,72.79981494729522
A,D,A,47.40758633233526,25.937714607379387
A,C,C,65.30728675441429,4.370134490328622
D,C,B,19.213671299523217,62.32032514439663
D,B,D,39.358568472065876,6.631309247851671
D,B,D,47.910845165057175,59.81971966478188
B,B,B,17.214851171767133,89.50272945098916
D,C,B,23.401032948424852,22.46564702762966
D,C,B,41.45032685763646,60.33911259599183
D,B,D,96.91269301240452,13.05722299292262
C,B,A,92.61807323035606,95.82173843590716
D,C,B,95.0696062065017,9.552251031902733
A,A,D,23.032867025541506,60.86389265105738
D,C,D,67.4625696229644,38.219885572664936
B,D,B,21.08052404239686,76.62191885776686
B,D,C,21.25164846738797,65.14267798543581
D,C,D,18.530741980546832,80.5168065186544
A,D,C,95.51520784629237,19.292093021453624
A,A,C,44.4892350796295,11.973663582427125
C,A,A,62.08887675035258,19.2420362910646
A,A,D,69.09840770933529,30.16229304841609
C,D,A,86.81071561051121,66.38730679215509
C,B,B,88.87110466831625,8.495703393513486
A,A,A,43.32801264585412,45.890932741365155
A,A,B,77.84525719389916,99.5294899818448
C,B,C,61.185065834208174,77.16655385696407
B,C,D,82.60852296394886,69.52992768910346
D,B,A,72.29989043605961,67.09034101082511
B,C,D,40.02092016144828,77.24184137595451
A,C,C,93.97477419305083,26.47632294174013
A,B,C,57.6215106605498,78.29239855949363
C,A,C,54.07977913318442,28.451460673909548
D,C,C,64.49798862414445,7.176350607701398
A,B,C,70.70714250136216,39.470452345407146
D,A,C,4.812685329796821,99.59989814419899
B,C,A,11.822312986175334,26.56562197659137
D,D,D,46.23314197267592,81.46728552283213
B,A,A,87.89892974644285,18.615019177026358
A,B,C,87.90021388670652,7.870449652377189
A,D,B,25.326443302270484,97.9627760345492
C,B,B,54.24904520187905,20.86624232247387
B,C,C,98.3992337270218,39.87081008155476
B,A,C,4.88591060200627,64.90283453251178
D,D,C,39.352387339596014,11.734616393174129
C,D,D,76.75082736785863,54.52258352266271
C,D,D,96.29663884550519,43.694104065151976
C,C,A,19.79518365730909,61.78266280658899
B,A,D,44.51583359692952,11.518721463891215
A,A,C,88.55536002778157,44.71658919620984
A,C,D,77.59402424048244,26.640629390071513
D,B,B,29.30554425473041,4.451228568099669
D,D,B,17.482173568187324,7.970820386432937
B,B,C,30.147552808376343,73.02696999765216
A,C,D,91.98424917757599,77.94647936628999
C,B,D,69.30534289166327,2.857714517077256
A,B,A,90.46388901831003,50.27243640077541
D,C,A,46.894316354091885,65.63366793389015
A,D,B,64.96404928504012,1.0858965542650119
C,B,C,9.95363995836699,4.745727641850537
D,A,B,50.5651212349831,39.657898272404154
B,B,C,18.797367797005048,16.00913992006678
A,B,C,58.959324351298825,33.653256062843916
A,A,C,89.53847380664423,39.74170619911987
B,D,C,55.094303350116014,1.3666716964760126
B,A,D,39.91360476570108,71.05295955427881
C,D,C,33.02263231305554,77.32807223928917
A,C,D,3.4662991665972696,48.335803182197424
D,C,C,45.91439283967935,40.98736241877724
A,B,D,89.76513322108093,73.04897469515178
C,B,D,89.68369581543854,81.4152897428929
D,C,B,88.37229628871111,7.939868878370092
D,A,B,9.927786467657581,23.358837353642496
D,C,A,33.0834032332899,39.05796352372601
C,D,B,65.20906659818503,69.2368695361889
A,B,B,71.43550481537085,78.20315868202275
D,A,C,17.235408679538196,12.999161378719982
B,B,A,73.59297079019902,53.99510357207935
C,C,B,10.027932810055676,99.16853665957535
D,A,B,70.91644427545698,34.010531570775335
C,C,D,63.77316940524723,30.979979572153574
B,D,A,9.44534785939688,6.464272645078441
D,C,A,71.02063275892026,99.70456383320364
A,A,A,72.96050974961811,65.06036654096864
C,C,D,97.54395113628341,37.1701807895899
D,B,A,61.59518091399695,85.4808657551678
D,B,A,16.830067302951093,34.66621623162345
C,A,D,55.48424267530511,84.27697712558728
B,B,A,5.346702263189638,76.28485500726327
C,D,A,17.91761312866974,29.70590814300972
A,D,C,34.18412076669682,21.108926664927683
B,A,B,87.25923495213317,55.893071695370864
A,C,A,86.40457542880537,96.78378310078533
A,B,D,17.050285540618265,66.41267477653409
C,B,C,15.316130017547378,30.588164172264527
D,C,B,77.14652286091969,39.6203677933634
B,C,B,6.079738531549174,11.570033657782437
A,C,C,31.4981583479219,69.19541565751173
D,C,D,73.28601296316394,49.163850668083015
D,B,B,96.13564524188314,88.63620131199312
D,D,B,29.58927320702994,44.36039118317584
B,A,B,18.888906610294004,19.756985067236062
D,A,A,89.95564942825982,4.534130574138308
C,C,A,96.08295407207547,3.5110959429604036
A,D,C,1.3497569608201974,99.64197240547536
D,B,C,76.77418490542462,24.61002800191955
A,B,D,2.2085687175811977,39.48798581388793
B,A,D,50.26513313267897,79.48117801185438
A,C,C,50.365581764330074,64.69735613066968
D,D,D,80.93800180829543,50.46873099997687
B,A,B,61.190409171488795,96.53043075346037
B,D,B,49.85321283005146,81.36603059233292
E,C,D,22.470510544608302,96.69083984633929
E,C,D,66.28759151023245,2.6254103084446867
E,A,C,45.920109902359435,34.5892254825636
